url,Reportdata number 1,Reportdata link 1,Reportdata link 1_link,Reportdata number 2,Reportdata link 2,Reportdata link 2_link,Reportdata number 3,Reportdata number 4,Reportdata number 5,
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,126,52003,http://zipatlas.com/us/ia/dubuque/zip-52003.htm,"42.415706, -90.652888",,,"13,305",230.59,"#10,563",231
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,127,50592,http://zipatlas.com/us/ia/truesdale/zip-50592.htm,"42.727313, -95.186576",Truesdale,http://zipatlas.com/us/ia/truesdale.htm,91,222.71,"#10,688",223
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,128,50703,http://zipatlas.com/us/ia/waterloo/zip-50703.htm,"42.548059, -92.286431",,,"20,978",221.15,"#10,714",221
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,129,52627,http://zipatlas.com/us/ia/fort-madison/zip-52627.htm,"40.664222, -91.335117",Fort Madison,http://zipatlas.com/us/ia/fort-madison.htm,"14,001",219.59,"#10,738",220
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,130,52655,http://zipatlas.com/us/ia/west-burlington/zip-52655.htm,"40.852897, -91.212040",West Burlington,http://zipatlas.com/us/ia/west-burlington.htm,"4,709",218.31,"#10,760",218
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,131,50323,http://zipatlas.com/us/ia/urbandale/zip-50323.htm,"41.628020, -93.802882",Urbandale,http://zipatlas.com/us/ia/urbandale.htm,957,204.88,"#10,982",205
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,132,51503,http://zipatlas.com/us/ia/council-bluffs/zip-51503.htm,"41.242603, -95.742520",Council Bluffs,http://zipatlas.com/us/ia/council-bluffs.htm,"33,819",203.34,"#11,016",203
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,133,50401,http://zipatlas.com/us/ia/mason-city/zip-50401.htm,"43.154087, -93.198644",Mason City,http://zipatlas.com/us/ia/mason-city.htm,"31,291",201.78,"#11,044",202
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,134,50102,http://zipatlas.com/us/ia/garden-city/zip-50102.htm,"42.245542, -93.400194",Garden City,http://zipatlas.com/us/ia/garden-city.htm,101,200.45,"#11,063",200
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,135,50111,http://zipatlas.com/us/ia/grimes/zip-50111.htm,"41.692652, -93.800061",Grimes,http://zipatlas.com/us/ia/grimes.htm,"5,646",197.1,"#11,118",197
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,136,50501,http://zipatlas.com/us/ia/fort-dodge/zip-50501.htm,"42.485735, -94.181342",Fort Dodge,http://zipatlas.com/us/ia/fort-dodge.htm,"30,357",194.27,"#11,169",194
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,137,50431,http://zipatlas.com/us/ia/coulter/zip-50431.htm,"42.736499, -93.377621",Coulter,http://zipatlas.com/us/ia/coulter.htm,258,186.34,"#11,340",186
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,138,50032,http://zipatlas.com/us/ia/berwick/zip-50032.htm,"41.666524, -93.525834",Berwick,http://zipatlas.com/us/ia/berwick.htm,370,184.48,"#11,382",184
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,139,50573,http://zipatlas.com/us/ia/plover/zip-50573.htm,"42.881520, -94.632080",Plover,http://zipatlas.com/us/ia/plover.htm,72,183.05,"#11,410",183
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,140,51109,http://zipatlas.com/us/ia/sioux-city/zip-51109.htm,"42.605562, -96.466342",Sioux City,http://zipatlas.com/us/ia/sioux-city.htm,"2,947",178.48,"#11,514",178
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,141,52240,http://zipatlas.com/us/ia/iowa-city/zip-52240.htm,"41.637955, -91.506817",Iowa City,http://zipatlas.com/us/ia/iowa-city.htm,"30,568",177.44,"#11,546",177
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,142,52753,http://zipatlas.com/us/ia/le-claire/zip-52753.htm,"41.628548, -90.385928",Le Claire,http://zipatlas.com/us/ia/le-claire.htm,"4,175",169.84,"#11,723",170
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,143,50269,http://zipatlas.com/us/ia/whitten/zip-50269.htm,"42.264549, -93.011104",Whitten,http://zipatlas.com/us/ia/whitten.htm,167,166.24,"#11,804",166
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,144,50211,http://zipatlas.com/us/ia/norwalk/zip-50211.htm,"41.455311, -93.705269",Norwalk,http://zipatlas.com/us/ia/norwalk.htm,"9,007",164.22,"#11,847",164
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,145,52748,http://zipatlas.com/us/ia/eldridge/zip-52748.htm,"41.665736, -90.554955",Eldridge,http://zipatlas.com/us/ia/eldridge.htm,"6,961",163.6,"#11,862",164
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,146,50263,http://zipatlas.com/us/ia/waukee/zip-50263.htm,"41.601839, -93.868825",Waukee,http://zipatlas.com/us/ia/waukee.htm,"6,357",159.35,"#11,966",159
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,147,52761,http://zipatlas.com/us/ia/muscatine/zip-52761.htm,"41.437251, -91.048490",Muscatine,http://zipatlas.com/us/ia/muscatine.htm,"30,286",158.01,"#11,999",158
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,148,52163,http://zipatlas.com/us/ia/protivin/zip-52163.htm,"43.220302, -92.100956",Protivin,http://zipatlas.com/us/ia/protivin.htm,314,154.54,"#12,092",155
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,149,51108,http://zipatlas.com/us/ia/sioux-city/zip-51108.htm,"42.566032, -96.352653",,,"5,468",151.24,"#12,169",151
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,150,50158,http://zipatlas.com/us/ia/marshalltown/zip-50158.htm,"42.048571, -92.903957",Marshalltown,http://zipatlas.com/us/ia/marshalltown.htm,"30,316",147.45,"#12,259",147
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,151,50623,http://zipatlas.com/us/ia/dewar/zip-50623.htm,"42.535262, -92.211102",Dewar,http://zipatlas.com/us/ia/dewar.htm,113,142.69,"#12,404",143
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,152,52568,http://zipatlas.com/us/ia/martinsburg/zip-52568.htm,"41.180554, -92.240099",Martinsburg,http://zipatlas.com/us/ia/martinsburg.htm,89,140.08,"#12,482",140
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,153,50124,http://zipatlas.com/us/ia/huxley/zip-50124.htm,"41.880251, -93.599779",Huxley,http://zipatlas.com/us/ia/huxley.htm,"2,753",137.63,"#12,556",138
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,154,52501,http://zipatlas.com/us/ia/ottumwa/zip-52501.htm,"41.032329, -92.426295",Ottumwa,http://zipatlas.com/us/ia/ottumwa.htm,"30,595",132.1,"#12,730",132
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,155,50208,http://zipatlas.com/us/ia/newton/zip-50208.htm,"41.711721, -93.033958",Newton,http://zipatlas.com/us/ia/newton.htm,"20,766",129.14,"#12,844",129
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,156,52631,http://zipatlas.com/us/ia/houghton/zip-52631.htm,"40.779268, -91.610245",Houghton,http://zipatlas.com/us/ia/houghton.htm,82,127.63,"#12,892",128
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,157,52726,http://zipatlas.com/us/ia/blue-grass/zip-52726.htm,"41.496325, -90.780377",Blue Grass,http://zipatlas.com/us/ia/blue-grass.htm,"4,505",124.73,"#12,995",125
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,158,52730,http://zipatlas.com/us/ia/camanche/zip-52730.htm,"41.775670, -90.335349",Camanche,http://zipatlas.com/us/ia/camanche.htm,"4,715",123.84,"#13,028",124
