,year,county_code,nan,working_pop,employed_pop,unemployed_pop,unemp_perc
101,2003,04013,,1749197.0,1658323.0,90874.0,5.2
102,2003,04015,,82110.0,78073.0,4037.0,4.9
103,2003,04017,,38252.0,34962.0,3290.0,8.6
104,2003,04019,,429349.0,406481.0,22868.0,5.3
105,2003,04021,,78892.0,73375.0,5517.0,7.0
106,2003,04023,,15707.0,14208.0,1499.0,9.5
107,2003,04025,,85008.0,80664.0,4344.0,5.1
108,2003,04027,,72869.0,60560.0,12309.0,16.9
109,2003,05001,,10716.0,10120.0,596.0,5.6
110,2003,05003,,9989.0,9040.0,949.0,9.5
111,2003,05005,,15939.0,14871.0,1068.0,6.7
112,2003,05007,,87883.0,84706.0,3177.0,3.6
113,2003,05009,,16050.0,15113.0,937.0,5.8
114,2003,05011,,5488.0,5089.0,399.0,7.3
115,2003,05013,,2537.0,2336.0,201.0,7.9
116,2003,05015,,13223.0,12581.0,642.0,4.9
117,2003,05017,,5174.0,4626.0,548.0,10.6
118,2003,05019,,11145.0,10428.0,717.0,6.4
119,2003,05021,,7491.0,6882.0,609.0,8.1
120,2003,05023,,10900.0,10278.0,622.0,5.7
121,2003,05025,,3969.0,3721.0,248.0,6.2
122,2003,05027,,10697.0,9970.0,727.0,6.8
123,2003,05029,,9596.0,8993.0,603.0,6.3
124,2003,05031,,42858.0,40458.0,2400.0,5.6
125,2003,05033,,25250.0,23893.0,1357.0,5.4
126,2003,05035,,21317.0,19869.0,1448.0,6.8
127,2003,05037,,8681.0,8030.0,651.0,7.5
128,2003,05039,,3821.0,3516.0,305.0,8.0
129,2003,05041,,6162.0,5607.0,555.0,9.0
130,2003,05043,,8514.0,7837.0,677.0,8.0
131,2003,05045,,47763.0,45147.0,2616.0,5.5
132,2003,05047,,7971.0,7581.0,390.0,4.9
133,2003,05049,,4966.0,4654.0,312.0,6.3
134,2003,05051,,39209.0,36682.0,2527.0,6.4
135,2003,05053,,8096.0,7641.0,455.0,5.6
136,2003,05055,,17113.0,15956.0,1157.0,6.8
137,2003,05057,,11068.0,10473.0,595.0,5.4
138,2003,05059,,14214.0,13260.0,954.0,6.7
139,2003,05061,,6528.0,6132.0,396.0,6.1
140,2003,05063,,17007.0,15905.0,1102.0,6.5
141,2003,05065,,5206.0,4794.0,412.0,7.9
142,2003,05067,,7781.0,7080.0,701.0,9.0
143,2003,05069,,35724.0,32855.0,2869.0,8.0
144,2003,05071,,10649.0,10064.0,585.0,5.5
145,2003,05073,,3369.0,3167.0,202.0,6.0
146,2003,05075,,7720.0,7060.0,660.0,8.5
147,2003,05077,,3664.0,3237.0,427.0,11.7
148,2003,05079,,5074.0,4660.0,414.0,8.2
149,2003,05081,,6398.0,6084.0,314.0,4.9
150,2003,05083,,9938.0,9372.0,566.0,5.7
151,2003,05085,,27489.0,26153.0,1336.0,4.9
152,2003,05087,,7175.0,6890.0,285.0,4.0
153,2003,05089,,6498.0,6075.0,423.0,6.5
154,2003,05091,,18224.0,17296.0,928.0,5.1
155,2003,05093,,20220.0,17797.0,2423.0,12.0
156,2003,05095,,3968.0,3668.0,300.0,7.6
157,2003,05097,,4249.0,4010.0,239.0,5.6
158,2003,05099,,4493.0,4265.0,228.0,5.1
159,2003,05101,,3615.0,3404.0,211.0,5.8
160,2003,05103,,12085.0,11122.0,963.0,8.0
161,2003,05105,,4778.0,4446.0,332.0,6.9
162,2003,05107,,9175.0,8367.0,808.0,8.8
163,2003,05109,,5189.0,4904.0,285.0,5.5
164,2003,05111,,11200.0,10370.0,830.0,7.4
165,2003,05113,,8587.0,7925.0,662.0,7.7
166,2003,05115,,26555.0,25020.0,1535.0,5.8
167,2003,05117,,4457.0,4221.0,236.0,5.3
168,2003,05119,,181174.0,171643.0,9531.0,5.3
169,2003,05121,,7838.0,7087.0,751.0,9.6
170,2003,05123,,10823.0,9805.0,1018.0,9.4
171,2003,05125,,43406.0,41275.0,2131.0,4.9
172,2003,05127,,4706.0,4477.0,229.0,4.9
173,2003,05129,,3373.0,3184.0,189.0,5.6
174,2003,05131,,56011.0,53227.0,2784.0,5.0
175,2003,05133,,7396.0,7048.0,348.0,4.7
176,2003,05135,,6401.0,5845.0,556.0,8.7
177,2003,05137,,4479.0,4138.0,341.0,7.6
178,2003,05139,,19714.0,18137.0,1577.0,8.0
179,2003,05141,,6812.0,6320.0,492.0,7.2
180,2003,05143,,90430.0,86944.0,3486.0,3.9
181,2003,05145,,30761.0,28791.0,1970.0,6.4
182,2003,05147,,3774.0,3408.0,366.0,9.7
183,2003,05149,,9793.0,9273.0,520.0,5.3
184,2003,06001,,754375.0,702984.0,51391.0,6.8
185,2003,06003,,554.0,508.0,46.0,8.3
186,2003,06005,,16389.0,15384.0,1005.0,6.1
187,2003,06007,,98296.0,90885.0,7411.0,7.5
188,2003,06009,,19854.0,18398.0,1456.0,7.3
189,2003,06011,,9433.0,8086.0,1347.0,14.3
190,2003,06013,,508420.0,477620.0,30800.0,6.1
191,2003,06015,,10313.0,9440.0,873.0,8.5
192,2003,06017,,87468.0,82631.0,4837.0,5.5
193,2003,06019,,403733.0,356645.0,47088.0,11.7
194,2003,06021,,11124.0,9992.0,1132.0,10.2
195,2003,06023,,60584.0,56464.0,4120.0,6.8
196,2003,06025,,58642.0,49550.0,9092.0,15.5
197,2003,06027,,9097.0,8576.0,521.0,5.7
198,2003,06029,,311344.0,279400.0,31944.0,10.3
199,2003,06031,,53114.0,46796.0,6318.0,11.9
200,2003,06033,,25856.0,23508.0,2348.0,9.1
201,2003,06035,,12313.0,11373.0,940.0,7.6
202,2003,06037,,4739472.0,4409913.0,329559.0,7.0
203,2003,06039,,58971.0,52916.0,6055.0,10.3
204,2003,06041,,130647.0,124287.0,6360.0,4.9
205,2003,06043,,8416.0,7839.0,577.0,6.9
206,2003,06045,,44970.0,41898.0,3072.0,6.8
207,2003,06047,,96839.0,85757.0,11082.0,11.4
208,2003,06049,,4203.0,3839.0,364.0,8.7
209,2003,06051,,8271.0,7856.0,415.0,5.0
210,2003,06053,,208693.0,190091.0,18602.0,8.9
211,2003,06055,,70670.0,67261.0,3409.0,4.8
