,year,county_code,pov_count_tot,pov_rate_tot,pov_youth_count_0-17,pov_youth_rate_0-17,med_hh_income
102,2003,04012,3385.0,17.2,1097.0,27.1,25807.0
103,2003,04013,441835.0,12.8,177188.0,18.4,46376.0
104,2003,04015,26438.0,14.8,10631.0,26.1,32505.0
105,2003,04017,22416.0,21.5,10338.0,29.5,30078.0
106,2003,04019,126844.0,14.3,48407.0,21.7,37540.0
107,2003,04021,29029.0,14.6,11838.0,22.0,37869.0
108,2003,04023,7803.0,19.2,3859.0,29.0,32070.0
109,2003,04025,22491.0,12.0,7613.0,19.6,35303.0
110,2003,04027,30469.0,17.9,14889.0,28.6,32645.0
111,2003,05000,432240.0,16.0,159182.0,23.6,33445.0
112,2003,05001,3447.0,17.3,1271.0,26.2,32448.0
113,2003,05003,4201.0,17.9,1661.0,27.6,32485.0
114,2003,05005,5380.0,13.7,1719.0,23.6,30521.0
115,2003,05007,17760.0,10.0,6188.0,13.1,45353.0
116,2003,05009,5367.0,15.4,1872.0,23.4,31626.0
117,2003,05011,2464.0,20.5,797.0,28.3,26593.0
118,2003,05013,796.0,14.6,257.0,20.7,29940.0
119,2003,05015,4059.0,15.4,1412.0,23.4,27796.0
120,2003,05017,3553.0,28.2,1348.0,39.8,22088.0
121,2003,05019,3673.0,17.3,1086.0,22.4,29970.0
122,2003,05021,2855.0,17.1,936.0,25.0,27217.0
123,2003,05023,3582.0,14.4,1203.0,23.6,32341.0
124,2003,05025,1264.0,14.2,468.0,21.8,34724.0
125,2003,05027,4857.0,20.4,1729.0,30.1,29275.0
126,2003,05029,3375.0,16.5,1238.0,25.5,31779.0
127,2003,05031,13361.0,15.8,4752.0,23.0,34821.0
128,2003,05033,7736.0,13.7,3352.0,22.4,35138.0
129,2003,05035,11550.0,22.6,4950.0,31.7,30546.0
130,2003,05037,3718.0,19.7,1447.0,29.4,30356.0
131,2003,05039,1555.0,18.8,579.0,28.7,26633.0
132,2003,05041,3406.0,23.3,1342.0,33.4,25822.0
133,2003,05043,3334.0,18.5,1227.0,27.9,29817.0
134,2003,05045,11641.0,12.8,3889.0,16.9,40395.0
135,2003,05047,2932.0,16.4,1064.0,24.3,31307.0
136,2003,05049,2159.0,18.2,735.0,29.7,26687.0
137,2003,05051,14567.0,16.0,5103.0,26.5,32064.0
138,2003,05053,1862.0,10.9,648.0,15.7,40375.0
139,2003,05055,5945.0,15.4,2157.0,22.3,33001.0
140,2003,05057,4440.0,19.1,1749.0,28.5,27614.0
